2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 3,3,3 | 2,2,3,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 3,3,3 | 2,3,2,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 3,3,3 | 3,2,2,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,2,3 | 3,3,3 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,2,3 | 2,2,2,3 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,2,3 | 2,2,3,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,2,3 | 2,3,2,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,2,3 | 3,2,2,2 | 
2024-02-14 07:19:09.869 +00:00 [INF] 2,3,2,2 | 2,2,3,2 | 3,3,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,2,3,2 | 2,2,2,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,2,3,2 | 2,2,3,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,2,3,2 | 2,3,2,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,2,3,2 | 3,2,2,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,3,2,2 | 3,3,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,3,2,2 | 2,2,2,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,3,2,2 | 2,2,3,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,3,2,2 | 2,3,2,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 2,3,2,2 | 3,2,2,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 3,2,2,2 | 3,3,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 3,2,2,2 | 2,2,2,3 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 3,2,2,2 | 2,2,3,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 3,2,2,2 | 2,3,2,2 | 
2024-02-14 07:19:09.870 +00:00 [INF] 2,3,2,2 | 3,2,2,2 | 3,2,2,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 3,3,3 | 3,3,3 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 3,3,3 | 2,2,2,3 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 3,3,3 | 2,2,3,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 3,3,3 | 2,3,2,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 3,3,3 | 3,2,2,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,2,3 | 3,3,3 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,2,3 | 2,2,2,3 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,2,3 | 2,2,3,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,2,3 | 2,3,2,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,2,3 | 3,2,2,2 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,3,2 | 3,3,3 | 
2024-02-14 07:19:09.871 +00:00 [INF] 3,2,2,2 | 2,2,3,2 | 2,2,2,3 | 
